Date et heure,Nom du joueur,Avion,Temps,Temps intermédiaire,Temps (s),Temps intermédiaire (s),Ravitaillement
2021-05-14T20:42:07.000Z,Pougatchev,M-2000C,25 min 04.400,14 min 52.080,1504.4,892.08,Oui
2021-05-14T21:17:52.000Z,R2D2,FA-18C_hornet,33 min 58.570,20 min 15.710,2038.57,1215.71,Oui
2021-05-14T21:34:00.000Z,Pougatchev,M-2000C,24 min 31.940,15 min 05.400,1471.94,905.4,Oui
2021-05-15T15:26:10.000Z,Pougatchev,M-2000C,24 min 33.480,15 min 06.010,1473.48,906.01,Oui
2021-05-15T16:00:38.000Z,Pougatchev,M-2000C,24 min 51.280,15 min 08.390,1491.28,908.39,Oui
2021-05-15T16:26:01.000Z,Pougatchev,M-2000C,23 min 57.560,14 min 49.660,1437.56,889.66,Oui
2021-05-15T17:25:16.000Z,yanou,FA-18C_hornet,42 min 49.880,27 min 51.690,2569.88,1671.69,Oui
2021-05-15T17:51:58.000Z,Pougatchev,M-2000C,24 min 12.650,14 min 56.930,1452.65,896.93,Oui
2021-05-15T18:17:23.000Z,Pougatchev,M-2000C,24 min 03.200,14 min 58.990,1443.2,898.99,Oui
2021-05-15T18:42:26.000Z,Pougatchev,M-2000C,24 min 04.460,14 min 57.540,1444.46,897.54,Oui
2021-05-15T20:29:55.000Z,Pougatchev,M-2000C,23 min 54.070,14 min 55.270,1434.07,895.27,Oui
2021-05-15T20:56:29.000Z,Pougatchev,M-2000C,23 min 58.390,14 min 54.620,1438.39,894.62,Oui
2021-05-15T21:12:39.000Z,yanou,FA-18C_hornet,39 min 18.140,24 min 58.020,2358.14,1498.02,Oui
2021-05-15T22:12:23.000Z,yanou,FA-18C_hornet,36 min 56.150,23 min 12.870,2216.15,1392.87,Oui
2021-05-15T23:56:13.000Z,Choumac,FA-18C_hornet,30 min 41.420,19 min 06.590,1841.42,1146.59,Oui
2021-05-16T00:31:58.000Z,yanou,FA-18C_hornet,32 min 47.240,20 min 46.690,1967.24,1246.69,Oui
2021-05-16T12:00:58.000Z,Pougatchev,M-2000C,24 min 12.210,15 min 00.600,1452.21,900.6,Oui
2021-05-16T12:21:31.000Z,yanou,FA-18C_hornet,33 min 42.910,21 min 20.240,2022.91,1280.24,Oui
